epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,3503.97,0.58638,0.37633,1.00523,0.98198,0.98929,0.99445,0.89603,0.53934,0.25228,0.96031,0.000396246,0.000396246,0.000396246
79,3548.41,0.58013,0.37428,1.00319,0.99377,0.98048,0.99429,0.89182,0.55571,0.25388,0.96884,0.000379743,0.000379743,0.000379743
80,3592.82,0.57347,0.35602,0.99838,0.98573,0.98662,0.9946,0.89596,0.54655,0.2464,0.96297,0.000363239,0.000363239,0.000363239
81,3637.47,0.56522,0.35691,0.99243,0.99586,0.98152,0.9946,0.89932,0.52093,0.24122,0.95437,0.000346736,0.000346736,0.000346736
82,3681.84,0.58108,0.3713,1.00459,0.99068,0.98623,0.99472,0.8966,0.53902,0.24788,0.9565,0.000330233,0.000330233,0.000330233
83,3726.52,0.57364,0.35953,0.99815,0.99466,0.98647,0.99458,0.90104,0.52678,0.24465,0.95562,0.000313729,0.000313729,0.000313729
84,3770.85,0.56217,0.35866,0.99286,0.9877,0.98687,0.9947,0.89511,0.54065,0.24575,0.95739,0.000297226,0.000297226,0.000297226
85,3815.15,0.56125,0.34958,0.99145,0.9904,0.98268,0.99465,0.89523,0.54318,0.24517,0.96275,0.000280723,0.000280723,0.000280723
86,3859.64,0.56535,0.35253,0.99261,0.99084,0.98171,0.99456,0.89837,0.53482,0.24565,0.959,0.00026422,0.00026422,0.00026422
87,3904.05,0.56002,0.35189,0.99143,0.99434,0.98298,0.99463,0.89923,0.5254,0.24303,0.94817,0.000247716,0.000247716,0.000247716
88,3948.35,0.5461,0.33444,0.9793,0.99341,0.98032,0.99456,0.90127,0.5378,0.23894,0.9618,0.000231213,0.000231213,0.000231213
89,3993.28,0.54873,0.33844,0.98611,0.98935,0.98614,0.99461,0.90127,0.53162,0.23911,0.95446,0.00021471,0.00021471,0.00021471
90,4037.94,0.55364,0.34116,0.98531,0.99418,0.98818,0.99477,0.90224,0.52727,0.23472,0.95348,0.000198206,0.000198206,0.000198206
91,4084.08,0.41921,0.21975,0.89016,0.98267,0.9908,0.99445,0.89643,0.53085,0.24167,0.95793,0.000181703,0.000181703,0.000181703
92,4128.64,0.40894,0.21112,0.88242,0.98979,0.98584,0.99466,0.89904,0.53358,0.23813,0.95176,0.0001652,0.0001652,0.0001652
93,4172.73,0.40125,0.206,0.88543,0.99224,0.98391,0.99465,0.90413,0.51562,0.23259,0.9466,0.000148696,0.000148696,0.000148696
94,4217.03,0.39807,0.20494,0.88156,0.98989,0.98817,0.99473,0.90476,0.51569,0.23418,0.94491,0.000132193,0.000132193,0.000132193
95,4261.19,0.39975,0.2021,0.8785,0.99494,0.98494,0.99458,0.90818,0.51692,0.23215,0.9427,0.00011569,0.00011569,0.00011569
96,4305.23,0.38637,0.19829,0.87374,0.9929,0.98485,0.9946,0.90576,0.51772,0.23247,0.94649,9.91865e-05,9.91865e-05,9.91865e-05
97,4349.4,0.39042,0.20058,0.87149,0.99161,0.98751,0.99449,0.90599,0.52893,0.23229,0.95158,8.26832e-05,8.26832e-05,8.26832e-05
98,4393.28,0.38959,0.1968,0.87328,0.99331,0.98559,0.99474,0.90643,0.52733,0.23232,0.95072,6.61799e-05,6.61799e-05,6.61799e-05
99,4438.12,0.37827,0.19115,0.86978,0.99131,0.98777,0.99472,0.90817,0.51912,0.2268,0.94816,4.96766e-05,4.96766e-05,4.96766e-05
100,4482.61,0.38288,0.19233,0.86889,0.99323,0.98687,0.99471,0.90839,0.52074,0.22976,0.94935,3.31733e-05,3.31733e-05,3.31733e-05
